"","Contracts","DirectPayments","Grants","Insurance","Loans","Others"
"2003",1183739,588868,714741,14734,0,1359
"2004",2001677,578146,746182,14895,0,724
"2005",2921828,493433,708084,14456,0,1609
"2006",3795532,658747,482701,14516,0,161
"2007",4110469,292406,379270,11109,230058,3024
"2008",4503746,1050682,395640,12095,220531,5028
"2009",3493168,1542045,580429,18512,416629,3835
"2010",3531404,2902512,654930,21724,970503,17785
"2011",3383438,2505670,543568,84009,1252483,45208
"2012",3100519,2155291,512335,90864,320795,83863
"2013",2480526,2142292,557882,99110,259712,68178
"2014",597330,1152954,152964,49918,121851,26047
"TOTAL",35103376,16063046,6428726,445942,3792562,256821
